date,breakfast,lunch,dinner
2026-04-01,8,35,14
2026-04-02,8,35,14
2026-04-03,4,35,14
2026-04-04,8,31,14
2026-04-05,0,0,0
2026-04-06,4,37,13
2026-04-07,11,37,13
2026-04-08,9,37,14
2026-04-09,9,35,14
2026-04-10,6,35,14
2026-04-11,7,37,14
2026-04-12,3,2,0
2026-04-13,7,37,14
2026-04-14,8,37,14
2026-04-15,3,32,12
2026-04-16,4,32,12
2026-04-17,4,32,17
2026-04-18,6,32,15
2026-04-19,3,1,0
2026-04-20,2,30,12
2026-04-21,8,32,12
2026-04-22,8,34,10
2026-04-23,6,32,10
2026-04-24,5,32,10
2026-04-25,7,34,10
2026-04-26,0,0,0
2026-04-27,9,32,10
2026-04-28,10,35,10
2026-04-29,5,32,10
2026-04-30,6,32,10
